[2022-05-24 18:49:11,643][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:11,646][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:12,122][test_04_home.py 131][INFO]: ---- 搜索接口 ----
[2022-05-24 18:49:12,316][test_04_home.py 134][INFO]: 搜索内容不存在
[2022-05-24 18:49:12,316][test_04_home.py 136][INFO]: {"content":"1","page":"1","pagesize":"20"}
[2022-05-24 18:49:12,316][test_04_home.py 137][INFO]: 接口结果为:{'c': 10004, 'm': '搜索内容不存在', 'n': '/v1/user/user/search', 'd': {}, 't': '1653389351', 'r': '51.202774047852ms'}
[2022-05-24 18:49:12,352][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:12,355][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:12,835][test_02_dynamic.py 138][INFO]: ---- 动态消息列表接口 ----
[2022-05-24 18:49:13,066][test_02_dynamic.py 143][INFO]: 请求成功
[2022-05-24 18:49:13,067][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:13,070][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:13,528][test_03_message.py 130][INFO]: ---- 关注我的列表接口 ----
[2022-05-24 18:49:13,693][test_03_message.py 133][INFO]: 请求成功
[2022-05-24 18:49:13,694][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:13,697][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:14,026][test_04_home.py 146][INFO]: ---- 亲密度排行榜接口 ----
[2022-05-24 18:49:14,201][test_04_home.py 149][INFO]: 请求成功
[2022-05-24 18:49:14,204][test_04_home.py 146][INFO]: ---- 亲密度排行榜接口 ----
[2022-05-24 18:49:14,394][test_04_home.py 149][INFO]: 请求成功
[2022-05-24 18:49:14,397][test_04_home.py 146][INFO]: ---- 亲密度排行榜接口 ----
[2022-05-24 18:49:14,632][test_04_home.py 149][INFO]: 请求成功
[2022-05-24 18:49:14,634][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:14,637][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:15,082][test_03_message.py 145][INFO]: ---- 亲密关系列表接口 ----
[2022-05-24 18:49:15,289][test_03_message.py 148][INFO]: 请求成功
[2022-05-24 18:49:15,290][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:15,293][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:15,627][test_04_home.py 161][INFO]: ---- 签到 ----
[2022-05-24 18:49:15,772][test_04_home.py 164][INFO]: 只有设备第一个注册账号能领取~
[2022-05-24 18:49:15,772][test_04_home.py 166][INFO]: None
[2022-05-24 18:49:15,773][test_04_home.py 167][INFO]: 接口结果为:{'c': 10004, 'm': '只有设备第一个注册账号能领取~', 'n': '/v1/user/task/signinAdd', 'd': {}, 't': '1653389355', 'r': '19.675016403198ms'}
[2022-05-24 18:49:15,785][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:15,788][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:16,223][test_02_dynamic.py 170][INFO]: ---- 举报动态接口 ----
[2022-05-24 18:49:16,521][test_02_dynamic.py 173][INFO]: 请求成功
[2022-05-24 18:49:16,523][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:16,526][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:17,013][test_03_message.py 160][INFO]: ---- 未读消息总数接口 ----
[2022-05-24 18:49:17,203][test_03_message.py 163][INFO]: 请求成功
[2022-05-24 18:49:17,205][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:17,207][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:17,557][test_04_home.py 176][INFO]: ---- 语音抢聊 ----
[2022-05-24 18:49:17,788][test_04_home.py 181][INFO]: 请求成功
[2022-05-24 18:49:17,789][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:17,792][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:18,239][test_02_dynamic.py 185][INFO]: ---- 动态评论删除接口 ----
[2022-05-24 18:49:18,472][test_02_dynamic.py 188][INFO]: 请求成功
[2022-05-24 18:49:18,473][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:18,476][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:18,970][test_03_message.py 175][INFO]: ---- 置顶消息接口 ----
[2022-05-24 18:49:19,155][test_03_message.py 178][INFO]: 请求成功
[2022-05-24 18:49:19,156][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:19,159][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:19,495][test_04_home.py 193][INFO]: ---- 语音抢聊退出 ----
[2022-05-24 18:49:19,724][test_04_home.py 196][INFO]: 请求成功
[2022-05-24 18:49:19,726][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:19,728][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:20,193][test_02_dynamic.py 200][INFO]: ---- 动态删除接口 ----
[2022-05-24 18:49:20,389][test_02_dynamic.py 203][INFO]: 请求成功
[2022-05-24 18:49:20,391][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:20,394][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:20,861][test_03_message.py 190][INFO]: ---- 聊天设置信息接口 ----
[2022-05-24 18:49:21,036][test_03_message.py 193][INFO]: 请求成功
[2022-05-24 18:49:21,038][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:21,041][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:21,441][test_04_home.py 208][INFO]: ---- 视频抢聊 ----
[2022-05-24 18:49:31,620][test_04_home.py 214][INFO]: 请求成功
[2022-05-24 18:49:31,622][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:31,625][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:32,089][test_03_message.py 205][INFO]: ---- 搭讪接口 ----
[2022-05-24 18:49:32,525][test_03_message.py 208][INFO]: 请求成功
[2022-05-24 18:49:32,526][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:32,529][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:32,987][test_04_home.py 226][INFO]: ---- 视频抢聊退出 ----
[2022-05-24 18:49:33,204][test_04_home.py 229][INFO]: 请求成功
[2022-05-24 18:49:33,206][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:33,208][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:33,661][test_03_message.py 220][INFO]: ---- 亲密度接口 ----
[2022-05-24 18:49:33,853][test_03_message.py 223][INFO]: 请求成功
[2022-05-24 18:49:33,855][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:33,857][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:34,205][test_04_home.py 241][INFO]: ---- 首页推荐在线列表 ----
[2022-05-24 18:49:34,360][test_04_home.py 244][INFO]: 请求成功
[2022-05-24 18:49:34,363][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:34,367][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:34,843][test_03_message.py 235][INFO]: ---- 通话信息接口 ----
[2022-05-24 18:49:35,064][test_03_message.py 238][INFO]: 请求成功
[2022-05-24 18:49:35,065][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:35,068][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:35,515][test_04_home.py 256][INFO]: ---- 首页推荐离线列表 ----
[2022-05-24 18:49:35,698][test_04_home.py 259][INFO]: 请求成功
[2022-05-24 18:49:35,700][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:35,703][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:36,040][test_03_message.py 250][INFO]: ---- 是否能私信接口 ----
[2022-05-24 18:49:36,194][test_03_message.py 253][INFO]: 请求成功
[2022-05-24 18:49:36,195][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:36,199][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:36,650][test_04_home.py 271][INFO]: ---- 附近列表 ----
[2022-05-24 18:49:36,870][test_04_home.py 274][INFO]: 请求成功
[2022-05-24 18:49:36,871][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:36,874][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:37,343][test_03_message.py 265][INFO]: ---- 打招呼接口 ----
[2022-05-24 18:49:42,539][test_03_message.py 269][INFO]: 请求成功
[2022-05-24 18:49:42,542][test_03_message.py 265][INFO]: ---- 打招呼接口 ----
[2022-05-24 18:49:47,780][test_03_message.py 269][INFO]: 请求成功
[2022-05-24 18:49:47,784][test_03_message.py 265][INFO]: ---- 打招呼接口 ----
[2022-05-24 18:49:53,064][test_03_message.py 269][INFO]: 请求成功
[2022-05-24 18:49:53,065][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:53,068][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:53,644][test_04_home.py 286][INFO]: ---- 约会列表 ----
[2022-05-24 18:49:53,853][test_04_home.py 289][INFO]: 请求成功
[2022-05-24 18:49:53,855][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:53,858][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:54,423][test_03_message.py 281][INFO]: ---- 发消息接口 ----
[2022-05-24 18:49:59,834][test_03_message.py 285][INFO]: 请求成功
[2022-05-24 18:49:59,838][test_03_message.py 281][INFO]: ---- 发消息接口 ----
[2022-05-24 18:50:05,421][test_03_message.py 285][INFO]: 请求成功
